City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cherskiy,RU,1.36,scattered clouds,68.75,161.3,Gostinitsa
1,Mataura,NZ,52.56,broken clouds,-46.1927,168.8643,Ellie's Villa
2,Whyalla,AU,62.28,moderate rain,-33.0333,137.5833,Foreshore Motor Inn
3,Qaanaaq,GL,7.07,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
4,Capaci,IT,66.25,clear sky,38.1711,13.2393,Hotel Sirenetta
5,Geraldton,AU,66.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
6,Kirakira,SB,85.51,few clouds,-10.4544,161.9205,SanBiz Lodge
8,Ushuaia,AR,42.46,light intensity drizzle,-54.8,-68.3,Albatross Hotel
9,Arraial Do Cabo,BR,73.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
11,Ridgecrest,US,82.69,few clouds,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
12,Victoria,HK,73.45,overcast clouds,22.2855,114.1577,Mini Central
14,Komsomolskiy,UZ,59.72,scattered clouds,40.4272,71.7189,Ikathouse
15,Isangel,VU,80.01,clear sky,-19.55,169.2667,Tanna Lodge
16,Presidencia Roque Saenz Pena,AR,58.01,few clouds,-26.7852,-60.4388,Hotel Gualok
17,Pevek,RU,4.64,broken clouds,69.7008,170.3133,Severnoye Zoloto
18,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
19,Cabo San Lucas,MX,82.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
20,San Juan,AR,64.26,overcast clouds,-31.5375,-68.5364,Hotel Provincial
21,Sambava,MG,66.38,few clouds,-14.2667,50.1667,Melrose
23,Ugoofaaru,MV,80.11,overcast clouds,5.6667,73.0,Ungoofaaru Inn
24,Bethel,US,58.5,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
25,Puerto Ayora,EC,66.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Black Diamond,US,64.26,scattered clouds,47.3087,-122.0032,Lake Sawyer RV Resort
27,Ko Samui,TH,78.62,overcast clouds,9.5357,99.9357,The Passage
28,Santa Isabel Do Rio Negro,BR,74.52,light rain,-0.4139,-65.0192,Hotel GSA
29,Chuy,UY,59.56,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
30,Punta Arenas,CL,50.11,broken clouds,-53.15,-70.9167,Hotel Hain
31,Bambous Virieux,MU,68.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
32,Tuktoyaktuk,CA,28.4,light rain,69.4541,-133.0374,End of The Road Ltd.
33,Kinablangan,PH,84.11,scattered clouds,7.6947,126.5503,Morales Eatery and Lodging House
34,Rikitea,PF,68.85,broken clouds,-23.1203,-134.9692,People ThankYou
35,Melfort,CA,42.66,clear sky,52.8667,-104.6177,Carra Valla Inn
36,Hobart,AU,60.26,light rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
37,Garowe,SO,74.41,light rain,8.4054,48.4845,Curubo Hotel
38,Kaitangata,NZ,53.11,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
39,Shimoda,JP,62.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
40,Torbay,CA,58.57,fog,47.6666,-52.7314,Gallows Cove
41,Zhigansk,RU,11.68,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
43,Upernavik,GL,38.71,overcast clouds,72.7868,-56.1549,Café de Upernavik
44,New Norfolk,AU,59.92,moderate rain,-42.7826,147.0587,The Shingles Riverside Cottages
45,Kodiak,US,49.51,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
46,Atuona,PF,76.89,scattered clouds,-9.8,-139.0333,Villa Enata
47,Kavaratti,IN,77.77,overcast clouds,10.5669,72.642,Green leaf
48,Necochea,AR,50.22,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
49,Thompson,CA,22.48,few clouds,55.7435,-97.8558,Burntwood Hotel
51,Harnosand,SE,42.01,overcast clouds,62.6323,17.9379,First Hotel Stadt
52,Barabinsk,RU,38.91,light rain,55.3571,78.357,Gostinichnyy Kompleks Noy
53,Mar Del Plata,AR,57.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
55,Chateauroux,FR,60.8,broken clouds,46.8167,1.7,Hôtel Kyriad Chateauroux
56,Clyde River,CA,25.03,light snow,70.4692,-68.5914,Qamaq Hotel
57,Ahipara,NZ,62.83,clear sky,-35.1667,173.1667,Ahipara Holiday Park
58,College,US,42.58,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
59,Isla Mujeres,MX,80.65,light rain,21.2311,-86.731,Hotel La Joya Isla Mujeres
60,Discovery Bay,US,77.11,clear sky,37.9085,-121.6002,Orwood Resort Inc
61,Bredasdorp,ZA,58.48,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
62,Bluff,NZ,48.97,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
63,Sisimiut,GL,38.68,light rain,66.9395,-53.6735,Hotel Sisimiut
64,Carnarvon,AU,71.49,clear sky,-24.8667,113.6333,Hospitality Carnarvon
65,Mahebourg,MU,68.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
66,Marsh Harbour,BS,80.53,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
67,Hasaki,JP,62.22,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
68,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
69,Baker City,US,67.59,clear sky,44.7749,-117.8344,Bridge Street Inn
70,Yellowknife,CA,44.56,clear sky,62.456,-114.3525,The Explorer Hotel
72,Jamestown,US,40.59,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
73,Severo-Kurilsk,RU,43.7,few clouds,50.6789,156.125,Kak Doma
74,Butaritari,KI,81.88,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
75,Saint-Philippe,RE,63.99,scattered clouds,-21.3585,55.7679,Le four à pain
76,Hithadhoo,MV,80.6,overcast clouds,-0.6,73.0833,Scoop Guest House
77,Graaff-Reinet,ZA,62.22,clear sky,-32.2522,24.5308,Rietjiesbos Self Catering
78,Morgan City,US,68.02,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
79,Coquimbo,CL,53.33,clear sky,-29.9533,-71.3436,Hotel San Juan
80,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
81,Touros,BR,77.56,few clouds,-5.1989,-35.4608,INN NEW HORIZON
82,Castro,BR,59.41,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
83,Morondava,MG,75.04,few clouds,-20.2833,44.2833,La Case Bambou
84,Popondetta,PG,90.84,overcast clouds,-8.7537,148.2534,Timos Transit House
85,Katsuura,JP,65.59,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
86,Port Alfred,ZA,63.9,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
87,Mbandaka,CD,71.35,overcast clouds,0.0487,18.2603,Guest House Epervier
88,Hongjiang,CN,63.63,clear sky,27.11,109.9956,洪江大酒店
89,Kindu,CD,67.03,clear sky,-2.95,25.95,Résidence Okanda
90,Guerrero Negro,MX,71.96,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
91,Behbahan,IR,74.39,broken clouds,30.5959,50.2417,فروشگاه ابوعلی
92,Bubaque,GW,80.87,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
93,Port Moresby,PG,85.3,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
94,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
96,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
97,Tigil,RU,34.3,snow,57.8,158.6667,Tigil'
98,Korla,CN,52.65,overcast clouds,41.7597,86.1469,Gulisitan Hotel
99,Muros,ES,62.69,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
100,Dzerzhinsk,RU,46.22,broken clouds,56.2389,43.4631,Hotel Druzhba
101,Namie,JP,59.99,overcast clouds,37.4833,141.0,いこいの村なみえ(福島県)
102,Busselton,AU,59.34,clear sky,-33.65,115.3333,Observatory Guest House
103,Longyearbyen,SJ,19.24,scattered clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
104,Souillac,MU,68.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
105,Nanortalik,GL,36.93,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
106,Lagoa,PT,62.38,light rain,39.05,-27.9833,Casa Das Faias
107,Zhob,PK,61.65,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
108,Dhidhdhoo,MV,78.57,overcast clouds,6.8833,73.1,Dhidhoo beach
109,Humberto De Campos,BR,78.67,few clouds,-2.5983,-43.4611,Pousada do Cabeça
110,Kumla,SE,46.99,overcast clouds,59.1277,15.1434,Kumla Hotel
111,Sao Joao Da Barra,BR,73.65,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
113,Barrow,US,26.62,overcast clouds,71.2906,-156.7887,King Eider Inn
114,Saldanha,ZA,60.19,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
115,Neuquen,AR,57.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
116,Faanui,PF,77.68,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
117,Yulara,AU,68.25,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
118,La Mira,MX,79.14,light rain,18.035,-102.3266,Cabaña San Francisco
120,Kangaatsiaq,GL,40.26,overcast clouds,68.3065,-53.4641,Nukissiorfiit
122,Vardo,NO,37.38,overcast clouds,70.3705,31.1107,Vardø Hotel AS
123,Khatanga,RU,20.53,light snow,71.9667,102.5,"""Khatanga"""
124,Saint-Denis,FR,62.76,overcast clouds,48.9167,2.3333,ibis budget Paris Porte de Montmartre
125,Kamennogorsk,RU,46.53,overcast clouds,60.9545,29.1339,"Serafima, Gostinitsa"
126,Esperance,AU,60.87,clear sky,-33.8667,121.9,Hospitality Esperance
127,Dharchula,IN,55.63,clear sky,29.85,80.5333,Mahara Hotel
128,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
129,Makokou,GA,68.31,light rain,0.5738,12.8642,Hôtel Arizona
130,Raudeberg,NO,45.27,overcast clouds,61.9875,5.1352,Nordre Silda.
131,Leningradskiy,RU,17.56,overcast clouds,69.3833,178.4167,Gostinitsa
132,Shache,CN,52.65,overcast clouds,38.4167,77.2406,Delong Hotel
133,Hermanus,ZA,56.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
134,Husavik,IS,32.23,few clouds,66.0449,-17.3389,Bjarnabúð
135,Tasiilaq,GL,33.96,overcast clouds,65.6145,-37.6368,The Red House
136,Fortuna,US,65.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
137,Winthrop,US,61.21,overcast clouds,42.3751,-70.9828,Courtyard by Marriott Boston Logan Airport
138,Deputatskiy,RU,6.1,overcast clouds,69.3,139.9,Baza Otdykha
139,Turukhansk,RU,32.5,light snow,65.8167,87.9833,"ООО ""Туруханская пушнина"""
140,Fort Nelson,CA,61.84,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
141,Buchanan,LR,75.25,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
143,Progreso,MX,84.31,light rain,21.2833,-89.6667,Playa Linda Hotel
144,Yanam,IN,75.61,overcast clouds,16.7333,82.2167,The Regency Hotel
145,Show Low,US,54.01,overcast clouds,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
146,Brejo Da Madre De Deus,BR,65.64,scattered clouds,-8.1458,-36.3711,Pousada e Restaurante do Sossego
147,Hofn,IS,39.72,overcast clouds,64.2539,-15.2082,Hótel Höfn
148,Khairagarh,IN,70.84,clear sky,26.95,77.8167,Saleem Bhai Fruit Co.
149,Hay River,CA,57.18,scattered clouds,60.8156,-115.7999,Ptarmigan Inn
150,Kaitong,CN,40.82,clear sky,44.8135,123.15,Jinhe Fashion Hotel
152,Hilo,US,85.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
153,Ahuimanu,US,86.94,few clouds,21.4447,-157.8378,Paradise Bay Resort
154,Dudinka,RU,31.62,overcast clouds,69.4058,86.1778,Hotel Viktoria
156,Batsfjord,NO,39.13,overcast clouds,70.6345,29.7185,Adventure Apartements
157,Sola,VU,86.67,overcast clouds,-13.8833,167.55,Leumerus Bungalows
158,Ryotsu,JP,57.49,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
159,Mehamn,NO,40.95,light intensity drizzle,71.0357,27.8492,Mehamn Arctic Hotel AS
160,Owase,JP,71.37,broken clouds,34.0667,136.2,Business Hotel Phoenix
161,Olafsvik,IS,43.86,broken clouds,64.8945,-23.7142,Hotel Olafsvik
162,San Rafael Del Sur,NI,79.77,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
163,Kruisfontein,ZA,58.89,few clouds,-34.0033,24.7314,Oyster Bay House Rental
164,Namibe,AO,65.3,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
165,Kavieng,PG,83.14,light rain,-2.5744,150.7967,Nusa Island Retreat
166,Sitka,US,58.89,clear sky,57.0531,-135.33,Westmark Sitka
167,Upington,ZA,68.38,clear sky,-28.4478,21.2561,River Place Manor
168,Worland,US,56.88,clear sky,44.0169,-107.9554,Town House Motor Inn
169,Porbandar,IN,79.41,few clouds,21.6422,69.6093,Lords Inn Porbandar
170,Lebu,CL,53.24,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
171,Urengoy,RU,36.09,overcast clouds,65.9667,78.3667,Gostinnitsa Medveditsa
172,Rawson,AR,58.32,clear sky,-43.3002,-65.1023,Hosteria Sampedro
173,Gravdal,NO,42.48,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
174,Dingle,PH,81.73,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
175,Newcastle,AU,69.57,scattered clouds,-32.9272,151.7765,NOAH'S on the beach
176,Charters Towers,AU,87.42,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
177,Aklavik,CA,27.1,overcast clouds,68.2191,-135.0107,Aklavik Inn
178,Jerome,US,66.67,clear sky,42.7241,-114.5186,Best Western Sawtooth Inn & Suites
