City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cherskiy,RU,68.75,161.3,1.36,91,34,2.62,scattered clouds
1,Mataura,NZ,-46.1927,168.8643,52.56,48,69,10.51,broken clouds
2,Whyalla,AU,-33.0333,137.5833,62.28,69,100,14.36,moderate rain
3,Qaanaaq,GL,77.484,-69.3632,7.07,74,100,3.76,overcast clouds
4,Capaci,IT,38.1711,13.2393,66.25,44,0,3.44,clear sky
5,Geraldton,AU,-28.7667,114.6,66.61,55,0,8.05,clear sky
6,Kirakira,SB,-10.4544,161.9205,85.51,68,22,6.91,few clouds
7,Ust-Maya,RU,60.4167,134.5333,20.84,80,86,9.62,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,42.46,87,100,13.8,light intensity drizzle
9,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,88,0,10.36,clear sky
10,Albany,US,42.6001,-73.9662,53.22,94,100,1.39,overcast clouds
11,Ridgecrest,US,35.6225,-117.6709,82.69,22,20,4.61,few clouds
12,Victoria,HK,22.2855,114.1577,73.45,61,100,15.99,overcast clouds
13,Codrington,AU,-38.2667,141.9667,63.12,63,100,5.5,overcast clouds
14,Komsomolskiy,UZ,40.4272,71.7189,59.72,47,40,4.61,scattered clouds
15,Isangel,VU,-19.55,169.2667,80.01,77,8,3.62,clear sky
16,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,58.01,97,17,4.05,few clouds
17,Pevek,RU,69.7008,170.3133,4.64,94,70,5.5,broken clouds
18,Avarua,CK,-21.2078,-159.775,80.65,61,75,13.8,broken clouds
19,Cabo San Lucas,MX,22.8909,-109.9124,82.62,69,20,12.66,few clouds
20,San Juan,AR,-31.5375,-68.5364,64.26,59,96,16.44,overcast clouds
21,Sambava,MG,-14.2667,50.1667,66.38,87,16,7.56,few clouds
22,Vanavara,RU,60.34,102.2797,29.43,83,96,4.07,overcast clouds
23,Ugoofaaru,MV,5.6667,73.0,80.11,80,100,20.92,overcast clouds
24,Bethel,US,41.3712,-73.414,58.5,87,100,0.0,light rain
25,Puerto Ayora,EC,-0.7393,-90.3518,66.54,86,15,4.0,few clouds
26,Black Diamond,US,47.3087,-122.0032,64.26,69,29,1.01,scattered clouds
27,Ko Samui,TH,9.5357,99.9357,78.62,88,100,20.69,overcast clouds
28,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.52,91,100,1.45,light rain
29,Chuy,UY,-33.6971,-53.4616,59.56,78,100,14.32,overcast clouds
30,Punta Arenas,CL,-53.15,-70.9167,50.11,66,75,4.61,broken clouds
31,Bambous Virieux,MU,-20.3428,57.7575,68.25,77,40,4.61,scattered clouds
32,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,100,5.75,light rain
33,Kinablangan,PH,7.6947,126.5503,84.11,71,31,1.28,scattered clouds
34,Rikitea,PF,-23.1203,-134.9692,68.85,68,61,19.86,broken clouds
35,Melfort,CA,52.8667,-104.6177,42.66,33,3,10.31,clear sky
36,Hobart,AU,-42.8794,147.3294,60.26,62,100,10.36,light rain
37,Garowe,SO,8.4054,48.4845,74.41,76,28,9.6,light rain
38,Kaitangata,NZ,-46.2817,169.8464,53.11,48,43,14.07,scattered clouds
39,Shimoda,JP,34.6667,138.95,62.1,84,100,9.22,overcast clouds
40,Torbay,CA,47.6666,-52.7314,58.57,97,40,3.44,fog
41,Zhigansk,RU,66.7697,123.3711,11.68,96,100,5.03,overcast clouds
42,Tessalit,ML,20.1986,1.0114,80.31,23,9,12.21,clear sky
43,Upernavik,GL,72.7868,-56.1549,38.71,87,100,35.5,overcast clouds
44,New Norfolk,AU,-42.7826,147.0587,59.92,46,100,4.09,moderate rain
45,Kodiak,US,57.79,-152.4072,49.51,76,100,9.22,overcast clouds
46,Atuona,PF,-9.8,-139.0333,76.89,73,31,12.5,scattered clouds
47,Kavaratti,IN,10.5669,72.642,77.77,91,100,19.13,overcast clouds
48,Necochea,AR,-38.5473,-58.7368,50.22,85,77,13.11,broken clouds
49,Thompson,CA,55.7435,-97.8558,22.48,88,21,5.66,few clouds
50,Dikson,RU,73.5069,80.5464,32.43,99,100,25.57,snow
51,Harnosand,SE,62.6323,17.9379,42.01,80,99,4.63,overcast clouds
52,Barabinsk,RU,55.3571,78.357,38.91,94,100,15.17,light rain
53,Mar Del Plata,AR,-38.0023,-57.5575,57.09,84,0,14.0,clear sky
54,Toora-Khem,RU,52.4675,96.11,34.03,63,100,1.63,overcast clouds
55,Chateauroux,FR,46.8167,1.7,60.8,100,75,2.3,broken clouds
56,Clyde River,CA,70.4692,-68.5914,25.03,93,100,10.36,light snow
57,Ahipara,NZ,-35.1667,173.1667,62.83,62,2,10.6,clear sky
58,College,US,64.8569,-147.8028,42.58,78,75,4.61,broken clouds
59,Isla Mujeres,MX,21.2311,-86.731,80.65,79,12,5.37,light rain
60,Discovery Bay,US,37.9085,-121.6002,77.11,50,0,4.61,clear sky
61,Bredasdorp,ZA,-34.5322,20.0403,58.48,96,100,1.88,overcast clouds
62,Bluff,NZ,-46.6,168.3333,48.97,66,37,25.26,scattered clouds
63,Sisimiut,GL,66.9395,-53.6735,38.68,92,100,12.03,light rain
64,Carnarvon,AU,-24.8667,113.6333,71.49,35,0,15.93,clear sky
65,Mahebourg,MU,-20.4081,57.7,68.29,77,40,4.61,scattered clouds
66,Marsh Harbour,BS,26.5412,-77.0636,80.53,63,35,10.0,scattered clouds
67,Hasaki,JP,35.7333,140.8333,62.22,84,100,27.34,overcast clouds
68,Vaini,TO,-21.2,-175.2,82.56,83,20,10.36,few clouds
69,Baker City,US,44.7749,-117.8344,67.59,27,0,6.91,clear sky
70,Yellowknife,CA,62.456,-114.3525,44.56,70,0,11.99,clear sky
71,Chokurdakh,RU,70.6333,147.9167,15.48,95,99,8.25,overcast clouds
72,Jamestown,US,42.097,-79.2353,40.59,68,0,15.01,clear sky
73,Severo-Kurilsk,RU,50.6789,156.125,43.7,78,20,32.03,few clouds
74,Butaritari,KI,3.0707,172.7902,81.88,73,50,16.87,scattered clouds
75,Saint-Philippe,RE,-21.3585,55.7679,63.99,79,40,8.81,scattered clouds
76,Hithadhoo,MV,-0.6,73.0833,80.6,69,100,4.56,overcast clouds
77,Graaff-Reinet,ZA,-32.2522,24.5308,62.22,72,1,0.81,clear sky
78,Morgan City,US,29.6994,-91.2068,68.02,68,40,6.91,scattered clouds
79,Coquimbo,CL,-29.9533,-71.3436,53.33,93,0,5.75,clear sky
80,Kapaa,US,22.0752,-159.319,84.18,70,0,10.36,clear sky
81,Touros,BR,-5.1989,-35.4608,77.56,79,14,16.64,few clouds
82,Castro,BR,-24.7911,-50.0119,59.41,95,100,9.35,moderate rain
83,Morondava,MG,-20.2833,44.2833,75.04,80,11,5.73,few clouds
84,Popondetta,PG,-8.7537,148.2534,90.84,52,100,4.59,overcast clouds
